dish,tier,restaurant,city,state,item_name,price_rm_original,source,collected
roti_canai,kosong,Restoran Fathima,Kuala Lumpur,Kuala Lumpur,Roti Canai,2.30,foodpanda.my/restaurant/s4hj,2026-08-16
roti_canai,kosong,Husen Cafe,Kuala Lumpur,Kuala Lumpur,Roti Canai,2.10,foodpanda.my/restaurant/n1br,2026-08-16
roti_canai,kosong,Nasi Kandar Utara (Plentong),Johor Bahru,Johor,Roti Canai (2 pcs set RM5.30),2.65,foodpanda.my/restaurant/ahok,2026-08-16
roti_canai,kosong,Restoran Hamidia (Fair Park),Ipoh,Perak,Roti Canai Biasa,2.30,foodpanda.my/restaurant/c8zi,2026-08-16
roti_canai,kosong,Ali Maju Kafe (Presint 2),Putrajaya,Putrajaya,Roti Canai,2.50,foodpanda.my/restaurant/e8om,2026-08-16
roti_canai,kosong,Restoran DSH Batu Burok,Kuala Terengganu,Terengganu,Roti Canai,2.65,foodpanda.my/restaurant/ga0a,2026-08-16
roti_canai,kosong,Restoran KRS Ampangan,Seremban,Negeri Sembilan,Roti Canai,1.80,foodpanda.my/restaurant/tl74,2026-08-16
roti_canai,kosong,Warung Che Pa,Kuantan,Pahang,Roti Kosong,1.60,foodpanda.my/restaurant/vbcg,2026-08-16
roti_canai,kosong,Ezi Roti Canai,Penang,Penang,Roti Canai,2.00,foodpanda.my/restaurant/f6sy,2026-08-16
teh_tarik,panas,Restoran Fathima,Kuala Lumpur,Kuala Lumpur,Teh Tarik,3.70,foodpanda.my/restaurant/s4hj,2026-08-16
teh_tarik,panas,Banana Leaf Corner,Kuala Lumpur,Kuala Lumpur,Teh Tarik,2.60,foodpanda.my/restaurant/qjho,2026-08-16
teh_tarik,panas,Nasi Kandar Utara (Plentong),Johor Bahru,Johor,Teh Tarik,2.80,foodpanda.my/restaurant/ahok,2026-08-16
teh_tarik,panas,Restoran Hamidia (Fair Park),Ipoh,Perak,Teh Tarik,3.30,foodpanda.my/restaurant/c8zi,2026-08-16
teh_tarik,panas,Ali Maju Kafe (Presint 2),Putrajaya,Putrajaya,Teh Tarik,3.90,foodpanda.my/restaurant/e8om,2026-08-16
teh_tarik,panas,Restoran DSH Batu Burok,Kuala Terengganu,Terengganu,Teh Tarik,3.15,foodpanda.my/restaurant/ga0a,2026-08-16
teh_tarik,panas,Restoran Kapitan (Chulia Street),George Town,Penang,Teh Tarik,2.48,foodpanda.my/restaurant/v6bg,2026-08-16
teh_tarik,panas,Kanteen Kopitiam (Bukit Kayangan),Kangar,Perlis,Teh Tarik,6.00,foodpanda.my/restaurant/e7q0,2026-08-16
teh_tarik,panas,11 Satu-satu Cafe,Alor Setar,Kedah,Teh Tarik,2.80,foodpanda.my/restaurant/chep,2026-08-16
mee_goreng,mamak,Restoran Fathima,Kuala Lumpur,Kuala Lumpur,Mee Goreng,9.20,foodpanda.my/restaurant/s4hj,2026-08-16
mee_goreng,mamak,Husen Cafe,Kuala Lumpur,Kuala Lumpur,Mee Goreng Biasa,8.30,foodpanda.my/restaurant/n1br,2026-08-16
mee_goreng,mamak,Nasi Kandar Utara (Plentong),Johor Bahru,Johor,Mee Goreng Mamak,9.90,foodpanda.my/restaurant/ahok,2026-08-16
mee_goreng,mamak,Restoran Hamidia (Fair Park),Ipoh,Perak,Mee Goreng Biasa,8.00,foodpanda.my/restaurant/c8zi,2026-08-16
mee_goreng,mamak,Restoran Majeedia,Ipoh,Perak,Mee Goreng,9.00,foodpanda.my/restaurant/o9cb,2026-08-16
mee_goreng,mamak,Ali Maju Kafe (Presint 2),Putrajaya,Putrajaya,Mee Goreng,8.30,foodpanda.my/restaurant/e8om,2026-08-16
mee_goreng,mamak,Warung Che Pa,Kuantan,Pahang,Mee Goreng,3.60,foodpanda.my/restaurant/vbcg,2026-08-16
mee_goreng,mamak,Tawau Kopitiam,Tawau,Sabah,Mee Goreng Kosong,9.80,foodpanda.my/restaurant/l1qf,2026-08-16
mee_goreng,mamak,One Rahmath Bistro (Seksyen 9),Shah Alam,Selangor,Mee Goreng Mamak Biasa,9.50,foodpanda.my/restaurant/n7nv,2026-08-16
mee_goreng,mamak,11 Satu-satu Cafe,Alor Setar,Kedah,Mee Goreng,9.80,foodpanda.my/restaurant/chep,2026-08-16
roti_canai,kosong,Restaurant Saravanna Sdn Bhd,Melaka,Melaka,Roti Canai,2.00,foodpanda.my/restaurant/uzhn,2026-08-16
roti_canai,kosong,Restoran Ria Katering 24 Jam,Kota Belud,Sabah,Roti Canai,4.00,foodpanda.my/restaurant/aykg,2026-08-16
teh_tarik,panas,Restaurant Saravanna Sdn Bhd,Melaka,Melaka,Teh Tarik,2.70,foodpanda.my/restaurant/uzhn,2026-08-16
teh_tarik,panas,Arafah Restoran (Panji),Kota Bharu,Kelantan,Teh Tarik,3.90,foodpanda.my/restaurant/n8w9,2026-08-16
mee_goreng,mamak,Restaurant Saravanna Sdn Bhd,Melaka,Melaka,Mee Goreng,7.50,foodpanda.my/restaurant/uzhn,2026-08-16
mee_goreng,mamak,Arafah Restoran (Panji),Kota Bharu,Kelantan,Mee Goreng,10.90,foodpanda.my/restaurant/n8w9,2026-08-16
mee_goreng,mamak,Restoran Ria Katering 24 Jam,Kota Belud,Sabah,Mee Goreng Biasa,15.40,foodpanda.my/restaurant/aykg,2026-08-16
roti_canai,kosong,Roti Tempayan Kg Kebakat 2,Kota Bharu,Kelantan,Roti Canai Kosong,2.10,foodpanda.my/restaurant/rj9j,2026-08-16
roti_canai,kosong,Barokah Roti Canai Seri Chempaka,Kota Bharu,Kelantan,Roti Kosong,2.50,foodpanda.my/restaurant/d6oc,2026-08-16
roti_canai,kosong,ABE DEE Roti Canai Panchor,Kota Bharu,Kelantan,Roti Canai Kosong,2.20,foodpanda.my/restaurant/bmwp,2026-08-16
roti_canai,kosong,Miria Roti Canai Kari Gearbox,Kota Bharu,Kelantan,Roti Canai Kosong,1.50,foodpanda.my/restaurant/iazz,2026-08-16
roti_canai,kosong,Roti Canai Amy,Kuching,Sarawak,Roti Canai Kosong,2.90,foodpanda.my/restaurant/gg15,2026-08-16
roti_canai,kosong,Roti Canai Cafe (Demak Laut),Kuching,Sarawak,Roti Canai Kosong,2.50,foodpanda.my/restaurant/p5k8,2026-08-16
roti_canai,kosong,Roti Canai Benteng (Medan Niaga Satok),Kuching,Sarawak,Roti Canai Kosong,2.30,foodpanda.my/restaurant/rw6c,2026-08-16
roti_canai,kosong,Idaman Station,Kuching,Sarawak,Roti Canai Kosong,1.50,foodpanda.my/restaurant/w8c4,2026-08-16
teh_tarik,panas,Roti Tempayan Kg Kebakat 2,Kota Bharu,Kelantan,Teh Tarik,3.50,foodpanda.my/restaurant/rj9j,2026-08-16
teh_tarik,panas,Roti Canai Cafe (Demak Laut),Kuching,Sarawak,Teh Tarik,4.90,foodpanda.my/restaurant/p5k8,2026-08-16
mee_goreng,mamak,Barokah Roti Canai Seri Chempaka,Kota Bharu,Kelantan,Mee Goreng,7.50,foodpanda.my/restaurant/d6oc,2026-08-16
mee_goreng,mamak,Miria Roti Canai Kari Gearbox,Kota Bharu,Kelantan,Mee Goreng,8.80,foodpanda.my/restaurant/iazz,2026-08-16
mee_goreng,mamak,Idaman Station,Kuching,Sarawak,Mee Goreng Biasa,6.00,foodpanda.my/restaurant/w8c4,2026-08-16
roti_canai,kosong,Restoran ABS Mukmin,Johor Bahru,Johor,Roti Kosong,2.50,foodpanda.my/restaurant/s0dl,2026-08-16
roti_canai,kosong,The Garden Villa's- (Country Garden),Johor Bahru,Johor,Roti Canai Biasa,2.20,foodpanda.my/restaurant/k954,2026-08-16
roti_canai,kosong,RESTORAN AL AJWA @ TAMAN SRI STULANG,Johor Bahru,Johor,Roti Kosong,1.96,foodpanda.my/restaurant/tjzy,2026-08-16
roti_canai,kosong,Restoran Al-Rahmat Nasi Kandar (Kempas Indah),Johor Bahru,Johor,Roti Canai,2.50,foodpanda.my/restaurant/x6xc,2026-08-16
